receiver_upi_id,amount,amount_ratio,transaction_frequency,device_mismatch_flag,geo_location_flag,account_age,recipient_blacklist_status,past_fraud_flag,high_risk_time_flag,sender_trust_score,receiver_trust_score,merchant_category_encoded,transaction_type_encoded,fraud_reports,fraud_label
simran719@ubi,1267,4.11,9,0,0,53,0,1,0,1,5,3,0,27,0.5
9781618495@mahb,11338,4.24,5,1,1,175,0,0,0,2,2,2,0,24,0.5
9192832764@waicici,326,0.11,4,0,0,41,0,0,0,1,4,2,3,0,0.0
preeti43@mahb,4589,3.57,7,0,1,162,1,0,0,3,1,1,2,52,1.0
9784801845@axisbank,1810,1.02,9,1,1,71,1,1,0,4,1,0,0,90,1.0
9809570154@ubi,431,0.5,9,1,1,135,0,0,1,2,5,0,2,37,0.5
9346578713@ubi,77730,32.28,9,0,0,36,0,0,0,2,2,3,1,20,0.5
manoj83@upi,441,0.15,2,0,1,4,0,0,0,1,2,0,0,21,0.0
vandana@bob,92824,153.94,7,0,1,338,0,1,0,3,4,3,3,23,0.5
rani@pnb,56112,48.04,4,0,1,237,0,0,1,1,4,4,0,17,0.5
9009788208@icici,2930,1.21,5,1,0,233,1,1,1,4,5,3,1,71,1.0
manoj688@paytm,215,0.14,4,0,0,292,0,0,0,5,5,0,0,0,0.0
9498084124@axisbank,68,0.08,2,1,0,289,0,0,1,1,5,1,2,24,0.0
manoj@paytm,916,0.69,4,0,0,176,0,1,1,3,5,3,2,21,0.0
seema683@waicici,221,0.61,3,1,0,354,1,0,0,5,1,2,1,59,0.5
9733754330@bob,22485,35.02,7,1,0,91,1,0,0,1,2,2,3,58,1.0
poonam354@apl,481,0.37,6,1,1,143,1,1,0,5,4,4,2,73,1.0
9484656482@bob,1073,0.37,1,0,1,224,0,0,1,5,5,1,2,13,0.0
9214895134@ubi,239,0.11,5,1,1,1,0,0,1,3,2,3,2,51,0.5
deepa@pnb,368,0.13,10,0,0,244,0,0,0,1,4,3,1,14,0.0
9743487347@icici,4635,5.45,9,1,0,238,0,0,0,5,5,2,3,23,0.5
neha212@mahb,1751,1.13,2,1,0,277,0,1,1,2,2,1,3,53,0.5
9627298069@mahb,2297,1.28,7,0,1,153,1,1,0,4,5,4,1,70,1.0
9641708053@icici,27118,20.25,1,0,0,94,1,1,0,3,4,2,1,76,1.0
9124190496@okicici,289,0.17,3,0,0,319,1,0,0,2,2,3,0,41,0.5
